Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
1,Growth in GDP,"line chart, jumbo figures",economic,1,"1, 2",3,3.9,colour,no,no
1,Today's temperature,icons,weather,3,2,1.5,1.1,colour,no,no
1,Opening of Madam Tussad's Museum in Delhi,jumbo figures,entertainment,3,"1, 2",2,1.1,colour,yes,no
1,Racketeering in the name of vehicle insurance,jumbo figures,crime,10,2,1,0.6,b&w,yes,no
1,Sensex,icons,sensex,5,"1, 2",6,0.6,b&w,no,no
1,Statistics of people suffering from deformities worldwide,bar chart,health,16,3,2.5,2.2,b&w,yes,no
1,Delhi is unsafe for women,jumbo figures,crime,17,"1, 2",4,0.6,colour,yes,no
1,Online poll,bar chart,public opinion,17,3,1.5,2.2,colour,no,no
1,Weighlifter Chanu won gold in world championship,jumbo figures,sports,19,2,2,1.7,colour,yes,no
1,Hockey world league finals,"jumbo figures, list",sports,19,4,2,1.1,colour,yes,no
1,Change in the rules of Kushti tournaments will give Indian athletes an advantage,list,sports,19,4,2,1.1,b&w,yes,no
2,BJP government in UP's towns,"pie chart, table, jumbo figures",politics,1,1,2,3.3,colour,yes,no
2,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
2,Opening of Madam Tussad's Museum in Delhi,jumbo figures,entertainment,2,3,0.5,1.1,colour,yes,no
2,Delhi Police fails to stop crime,list,administration,2,3,1,2.2,b&w,yes,no
2,Delhi police self-defense campaign,table,campaign,5,4,4,3.3,colour,yes,no
2,Job alert,jumbo figures,lifestyle,7,"2, 3",2,3.3,colour,no,no
2,More than 50% posts occupied by non-party members,table,politics,14,4,2,1.7,colour,yes,no
2,Online poll,bar chart,public opinion,15,3,1.5,2.2,colour,no,no
2,India vs Sri Lanka third test cricket match,jumbo figures,sports,17,"1, 2",3,1.1,b&w,yes,no
2,Australia vs India: Hockey World League Finals,jumbo figures,sports,17,3,1,1.1,colour,yes,no
2,Australia vs England Ashes series,jumbo figures,sports,17,4,1,1.1,colour,yes,no
3,Kohli strikes 5000 runs with his 20th test century,jumbo figures,sports,1,2,1,1.1,b&w,yes,no
3,100 crore blackmoney racket in Doctor-Medical Centre collusion,jumbo figures,crime,1,1,1,0.6,colour,yes,no
3,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
3,"Degrading air quality in Delhi, Noida",table,environment,5,1,1,1.1,b&w,no,no
3,Delhi police self-defense campaign,table,campaign,5,"1, 4",4,3.3,colour,yes,no
3,Job alert,jumbo figures,lifestyle,9,"2, 3",2,3.3,colour,no,yes
3,Online poll,bar chart,public opinion,13,3,1.5,2.2,colour,no,no
3,India vs Sri Lanka test match: Virat's third century,"jumbo figures, table",sports,14,1,1.5,2.8,b&w,yes,no
4,India vs Sri Lanka: Oxygen break in between Delhi test,jumbo figures,sports,1,"1, 2",1.5,1.1,colour,yes,no
4,Today's temperature,icons,weather,2,2,1.5,1.1,colour,no,no
4,Metro smart card sales fall,table,transport,2,1,1,1.1,b&w,yes,no
4,Vaccines for Hepatitis,table,campaign,5,1,4,3.9,colour,yes,no
4,Job alert,jumbo figures,lifestyle,6,"2, 3",2,3.3,colour,no,yes
4,Statistics of womes suffering from Anaemia in India,bar chart,health,12,3,2,2.2,b&w,yes,no
