Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,GDP rises with intervention of GST,line chart,economic,1,1,1.3,2,colour,yes,yes
Dec-01,4 terrorists killed in the valley,jumbo figures,crime,1,2,1,0.7,colour,yes,no
Dec-01,Toll won't be hiked on yamuna expressway,table,transport,2,1,1.3,1.6,colour,no,no
Dec-01,Ill patients waiting for rights to cure,jumbo figures,health,3,4,4,2.7,colour,no,yes
Dec-01,Miserable education system,jumbo figures,administration,3,"1, 2",2,0.7,colour,no,no
Dec-01,Increase in crime rate,"jumbo figures, list",crime,4,2,3,2,b&w,no,yes
Dec-01,Unsafe cities for women,jumbo figures,crime,4,1,0.5,1.3,colour,no,yes
Dec-01,No solution for parking in Khan Market,jumbo figures,transport,4,4,2,0.7,colour,yes,no
Dec-01,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-01,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-01,Should jersey no 10 be banned in cricket,pie chart,public opinion,8,3,1,1.3,colour,no,no
Dec-01,Growth in development rate of manufacturing disturbs farming,table,economic,10,1,1,2.7,b&w,no,no
Dec-01,Sensex,icons,sensex,10,3,1,2.7,b&w,no,yes
Dec-01,Criminal commits suicide by drinking poison,jumbo figures,crime,17,2,1,2,colour,yes,no
Dec-01,Institutes will be ranked on the basis of patents acquired,table,education,17,2,2,2.7,b&w,no,yes
Dec-01,Hockey worldcup,"table, list",sports,19,2,1,2,colour,yes,no
Dec-02,BJP wins in UP,list,politics,1,1,1.2,4,colour,yes,no
Dec-02,Transport restrictions and parking plan,map,transport,2,2,5.5,6.7,colour,yes,no
Dec-02,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-02,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-02,Delhi police self-defense campaign,table,campaign,5,4,4,4,colour,yes,no
Dec-02,Mayor post won by BJP for fifth time,table,politics,7,2,1.5,4,colour,yes,no
Dec-02,Impacts on India,bar chart,foreign affairs,10,"3, 4",4.5,1.3,b&w,no,no
Dec-02,Does congress over power opposing parties,pie chart,public opinion,10,3,1,1.3,colour,no,no
Dec-02,BJP dominates in UP once again,"ring chart, stacked bar chart, icons ",politics,17,"1, 2",6,2.7,colour,yes,yes
Dec-02,Downfall in muslim votes gives second life to BSP,jumbo figures,politics,17,4,1,1.3,colour,yes,no
Dec-02,India's Cricket stats,jumbo figures,sports,18,1,1,4.7,b&w,yes,no
Dec-02,Innagural match between Russia and Saudi Arabia,list,sports,19,1,1,3.3,b&w,yes,no
Dec-02,Comparison of charges,list,entertainment,24,4,3,2,b&w,no ,no
Dec-02,Best movie shooting spots in Old Delhi,list,entertainment,24,1,1.5,3.3,b&w,yes,no
Dec-02,Condition of handicapped in country,jumbo figures,lifestyle,32,2,2,1.3,colour,no,yes
Dec-02,Weather report,"map, colour",weather,32,4,2,3.3,colour,no,no
Dec-03,Kohli makes new records ,jumbo figures,sports,1,1,2,2,b&w,yes,no
Dec-03,16% students leave school in MP,table,education,4,1,1,2.7,colour,no,no
Dec-03,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-03,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-03,Delhi police self-defense campaign,table,campaign,5,"1, 4",4,4,colour,yes,no
Dec-03,World handicap day,jumbo figures,health,6,1,8,1.3,colour,no ,no
Dec-03,"Planning a robbery from two years, 5 arrested",jumbo figures,crime,8,2,1,2.7,colour,yes,no
Dec-03,Train cancellation notice,table,transport,9,"2, 3",3,4,b&w,no,no
Dec-03,Police force per lakh population,"jumbo figures, icons",administration,13,"1, 2",8,1.3,b&w,no,no
Dec-03,Public opinion,"jumbo figures, icons",public opinion,13,3,1,1.3,colour,no,no
Dec-03,National crime record,"jumbo figures, table, ring chart",crime,13,"3, 4",5,4,colour,no,yes
Dec-03,Number of petrol pumps with ownerships,jumbo figures,development,16,"3, 4",4.5,1.6,b&w,no,yes
Dec-03,Monetary development indicators of GST and note ban,pie chart,public opinion,16,3,1,1.3,colour,no,no
Dec-03,Virat and Vijay shatter Sri Lankans,"table, jumbo figures",sports,18,"1, 2",2.3,5.3,colour,yes,no
Dec-03,Radio city top 25,list,entertainment,19,"1, 4",3,3.3,colour,no,no
Dec-03,Yamuna challenge trophy cricket tournament involved exciting matches,table,sports,25,1,2,1.3,colour,yes,no
Dec-03,List of achievements,"jumbo figures, list",sports,26,"1, 4",1.5,8.7,b&w,yes,no
Dec-04,"Sri Lanka scared of Virat, declare pollution as the 'villain'",jumbo figures,sports,1,2,1,0.4,b&w,yes,no
Dec-04,Miserable education system,jumbo figures,education,1,"1, 2",8,1.3,colour,no,no
Dec-04,20% increase in air pollution,"list, table, map",environment,4,"1, 2",4,4.7,colour,yes,no
Dec-04,Weather report,icons,weather,5,2,2,0.7,colour,no,yes
Dec-04,Air quality,"colour, table",environment,5,2,1,3.3,colour,yes,no
Dec-04,Can national hunger problem be cured by the campaign launched by national government,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-04,Sachiv calls for a meeting on GST,"table, jumbo figures",economic,14,2,2,2,b&w,yes,no
Dec-04,Indian naval day,jumbo figures,administration,15,"1, 2",2.5,1.3,colour,yes,no
Dec-04,Kim Jon pressurises south korea,jumbo figures,foreign affairs,15,2,3,0.4,colour,yes,no
Dec-04,Pakistan breaks cease-fire 720 times on border,bar chart,foreign affairs,16,2,2,2,b&w,no,yes
Dec-04,Kohli scores double century,"jumbo figures, table",sports,18,"1, 2",4,7.3,colour,yes,no
Dec-04,Kohli first captain to score consecutive centuries,"table, jumbo figures",sports,18,2,3,1.6,b&w,no,no
Dec-04,Patna airport no better than bus-stand,list,administration,19,1,2,3.3,colour,yes,yes
Dec-04,This week,"timeline, list",entertainment,21,"1, 2",8,2.7,colour,no ,yes
Dec-04,Price of vegetables,table,economic,21,3,1,4.3,colour,no,no
Dec-05,Miserable education system,jumbo figures,administration,2,1,8,1.3,colour,no,no
Dec-05,No electricity in schools,"list, jumbo figures",education,2,1,1,0.9,b&w,no,yes
Dec-05,Aqua line metro coaches arriving through the roadways,jumbo figures,transport,2,3,2,0.4,b&w,yes,no
Dec-05,Pollution at dangerous levels,table,environment,4,2,1,4,colour,yes,no
