Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
1,Growth in GDP,"line chart, jumbo figures, table",economic,1,2,2,2.6,colour,yes,no
1,Weighlifter Chanu won gold in world championship,jumbo figures,sports,1,4,1,2.8,b&w,yes,no
1,Crime: Delhi > Bengaluru > Mumbai,"icons, bar chart, colour, jumbo figures",crime,2,"1, 2",5.5,2.2,colour,no,yes
1,DDA scheme: sold 10700 flats,bar chart,development,2,"1, 2",1,1.7,colour,yes,no
1,Market rates for tomatoes and onions,table,economic,4,4,1,1.1,b&w,yes,no
1,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
1,India vs Sri Lanka: third test match at Kotla,table,sports,12,"1, 2",1.5,3.3,colour,yes,no
1,Chile: Largest Iceberg broke off the Grey glacier,jumbo figures,environment,13,"1, 2",1.5,1.7,colour,yes,no
1,The count for the tribal seats in Gujarat,table,politics,13,3,1.2,2.2,colour,no,no
2,"BJP won 46% seats in cities, 15% in villages",table,politics,1,1,4,1.1,b&w,no,yes
2,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
2,India stops export of onions,bubble chart,economic,8,3,1,1.1,colour,yes,no
2,Smartphone comparison,table,technology,11,"3, 4",3.5,2.4,colour,no,no
2,India vs Sri Lanka: third test match at Kotla,table,sports,12,4,2,1.1,colour,yes,no
3,Kohli strikes 5000 runs with his 20th test century,jumbo figures,sports,1,2,1,2.2,b&w,yes,no
3,"Temperature at 7.4 degrees, broke last 6 years' records",line chart,weather,2,1,2,2.2,colour,yes,no
3,3 lakh 64 thousand foreign students came to India in an year,table,education,10,2,1.5,1.7,b&w,no,no
3,Half of USA's special force commandoes in Middle-East,table,foreign affairs,10,1,3,1.1,b&w,yes,no
3,Return on Investment,table,economic,11,1,2.5,1.7,colour,no,no
3,India vs Sri Lanka test match: Virat's third century,"jumbo figures, table",sports,12,"1, 2",3,1.1,colour,yes,no
3,Grandhomme's fastest century against West Indies,table,sports,12,4,1,1.7,colour,no,no
3,Day/Night test: Australia vs Ingland,table,sports,12,4,1,1.1,colour,no,no
3,Sunday celebrity: Pankaj Advani,list,sports,12,4,2,1.7,colour,no,no
3,Kerala: Jatayu Nature Park now open for public,jumbo figures,entertainment,13,1,2.5,0.6,colour,yes,no
3,Modi's rallies in Gujarat,table,politics,13,1,2,1.7,colour,yes,no
4,India vs Sri Lanka: Oxygen break in between Delhi test,"jumbo figures, table, timeline",sports,1,"1, 2",2,2.2,colour,yes,no
4,Babri Masjid conflict: Waiting for the Supreme Court's decision,jumbo figures,judiciary,1,1,0.5,1.7,colour,no,no
4,Metro smart card sales fall,table,transport,3,1,1.5,1.7,colour,yes,no
4,"Noida, Greater-Noida: Only 27% people have got possession of flats, 25 days remaining",jumbo figures,development,3,3,2.5,2.2,b&w,no,no
4,Annually 1 lakh jobs in e-commerce,"colour, line chart",development,11,"1, 2",4,3.9,colour,no,yes
4,Businesswomen to be encouraged if business process is made easier ,jumbo figures,lifestyle,11,3,3,0.6,b&w,yes,no
4,"India vs Sri Lanka: Virat scores another double century, breaks Lara's record",table,sports,12,2,2,1.1,b&w,yes,no
4,New Zealand vs West Indies,table,sports,12,3,1,1.1,b&w,yes,no
4,Ashes: Austarlia scores 442 runs,table,sports,12,4,1,1.1,b&w,yes,no
4,Importance of chabahar port to india,map,foreign affairs,13,2,1,1.7,colour,yes,no
5,Rahul is the only candidate for Congress Chairperson,"bar chart, line chart",politics,1,1,2,1.7,colour,yes,no
5,Degrading air quality in Delhi-NCR,"colour, bar chart",environment,2,"1, 2",3.5,2.2,colour,yes,no
5,Provision for one lakh rupees fine for staring at women,stacked bar chart,crime,7,"1, 2",3,1.1,colour,no,yes
5,Sensex,"icons, colour",sensex,8,"1, 2",8,1.1,colour,no,no
5,Third test: India vs Sri lanka,"table, jumbo figures",sports,12,1,5,1.1,b&w,yes,no
5,"2nd test, 3rd day: Australia vs England",table,sports,12,4,2,1.7,b&w,no,no
5,New Zealand defeats West Indies,table,sports,12,4,1.5,1.7,b&w,no,no
5,Korean grammar is similar to that of Hindi- Sanskrit,jumbo figures,foreign affairs,14,3,1.5,1.1,b&w,yes,no
5,Surgical ward crowded by stray dogs,jumbo figures,health,14,1,1,0.6,b&w,yes,no
6,Officers to be notified via WhatsApp alerts as soon as pollution crosses the threshold level,table,environment,2,1,1.5,0.6,b&w,yes,no
6,13000 seats lying vacant in Rajasthan due to no Chairman,table,administration,5,1,2,1.1,b&w,yes,no
6,Sensex,"icons, colour",sensex,8,"1, 2",8,2.2,colour,no,no
6,"A package of 8450 crores to increase export, worker-intensive businesses to get 2% additional incentive",table,economic,8,1,1,2.2,colour,yes,no
6,"10th, 12th results exceeded 95%",table,education,11,2,2,1.1,b&w,no,no
6,19% teacher posts lying vacant,table,administration,11,3,2,1.1,b&w,no,no
6,"Third test: India vs Sri lanka, Virat became the highest scoring Indian captain in a test","table, jumbo figures",sports,12,"1, 2, 3, 4",1.5,7.8,b&w,yes,no
6,Anderson took 5 wickets in the 1st innings,table,sports,12,3,1,2.2,b&w,yes,no
