Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,GDP shrugs off GST as Q2 growth reboundsto 6.3%,line chart,economic,1,2,2,1.3,colour,no,no
Dec-01,"Spurt in rape cases with M.P., U.P., leading the table",bar chart,judiciary,1,1,1.2,1.3,colour,no,no
Dec-01,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-01,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-01,Many cybercrime cases not investigated,"jumbo figures, table, bar chart, bubble chart",crime,7,"1, 2",4,3.5,colour,no,yes
Dec-01,Information explosion,line chart,technology,9,4,2,2.5,colour,no,no
Dec-01,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-01,GDP numberspeak,"stacked bar chart, colour",economic,13,1,2,3.5,colour,yes,no
Dec-01,Hockey World League Final schedule,table,sports,15,4,2,4.5,b&w,yes,no
Dec-01,Mayank's incredible turnaround,jumbo figures,sports,16,1,1,3.5,colour,yes,no
Dec-01,"Delhi tops list for number of crimes against women, again","jumbo figures, ring chart",crime,30,"1, 2",3,3.5,colour,yes,no
Dec-02,Sunrise-sunset and temperature,"icons, table",weather,2,1,1,2,b&w,no,no
Dec-02,Traffic advisory,"map, icons",transport,2,"3, 4",5,7,colour,no,no
Dec-02,Delhi police self-defense campaign,table,campaign,3,3,4,2.5,colour,yes,no
Dec-02,MP has most number of repeat offenders,"table, bubble chart",crime,5,"2, 3",3,3.5,colour,no,yes
Dec-02,The lost jews of Churachandpur,map,lifestyle,7,3,1.5,2,colour,yes,no
Dec-02,Rupani can't rest easy on home turf,"map, icons, jumbo figures, bar chart",politics,9,"1, 2",3,3,colour,yes,no
Dec-02,Around 15% candidates face criminal cases,"bubble chart, bar chart, jumbo figures, colour, pie chart",politics,9,"3, 4",4,3,colour,no,no
Dec-02,Market watch,table,sensex,11,2,1,8.5,b&w,no,no
Dec-02,Spain and Portugal in same group at World Cup,list,sports,15,1,2,1.7,colour,no,no
Dec-02,Mr. Long Term vs Mr. Quick Fix,"map, table",sports,16,"3, 4",4.5,4,colour,yes,no
Dec-02,Stacking up,table,sports,16,"3, 4",6,4.5,b&w,yes,no
Dec-02,The best since Bradman,scatter plot,sports,17,3,3.5,4,colour,yes,no
Dec-02,Repeat offenders on the rise in the city,"bar chart, pie chart",crime,21,"1, 2",3,2.5,colour,yes,yes
Dec-03,"At Hauz Khas,differently-abled see the world through a different lens","colour, icons, stacked bar chart",health,2,2,2,3,colour,yes,no
Dec-03,Gujarat elections: Swimming against the tide,table,politics,11,"3, 4",1.5,1.2,colour,no,no
Dec-03,Bank FD interest rates,table,economic,27,"1, 4",1.5,6,colour,no,no
Dec-03,No line on the urban zone,map,politics,38,4,3,4,colour,yes,no
Dec-04,Sunrise-sunset and temperature,"icons, table",weather,3,2,1,2,b&w,no,no
Dec-04,weather watch,"map, table, colour",weather,7,1,1,7,colour,no,no
Dec-04,Growing at a slow pace: primary health centres,line chart,health,11,4,2,1.5,colour,no,no
Dec-04,What's behind the bitcoin boom?,line chart,economic,16,"3, 4",3.5,3,colour,yes,no
Dec-05,Rape of minors to attract death in MP,table,crime,1,1,1,2,colour,no,no
Dec-05,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-05,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-05,Who swings the vote in India?,table,politics,9,2,1.5,1.5,colour,yes,no
Dec-05,Going against the state,"map, colour",crime,9,4,2,3,colour,no,no
Dec-05,OBCs to play kingmaker in the battle for Gujarat,list,politics,11,2,2,1.5,colour,yes,no
Dec-05,"It may be a photo finsh for BJP, Congress: Survey",table,politics,11,"3, 4",3,1.5,colour,no,no
Dec-05,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-05,Centre prepares to redefine 'employment',jumbo figures,administration,13,2,2,1,colour,no,yes
Dec-06,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-06,Delhi police self-defense campaign,table,campaign,2,1,4,2.5,colour,yes,no
Dec-06,weather watch,"map, table, colour",weather,6,1,1,7,colour,no,no
Dec-06,Remittance received for declining oil prices,bar chart,economic,9,4,2,2.7,colour,no,no
Dec-06,Cong. veterans to hold the fort in swing seats,map,politics,11,2,1.2,1.5,colour,no,no
Dec-06,Market watch,table,sensex,13,2,1,8.5,b&w,no,no
Dec-06,Property tax hike on cards in North Delhi,"ring chart, map",economic,22,4,2,3,colour,no,yes
Dec-07,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
