Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,Delhi most unsafe city: tops crime chart again,"table, bar chart",crime,1,3,2.7,2,colour,no,no
Dec-01,NCRB data reinforces rape capital tag,"line chart, colour, table, bar chart, stacked bar chart, ring chart",crime,2,"1, 2, 3, 4",3.5,8.6,colour,yes,no
Dec-01,"DDA to launch new scheme next year, offers 21000 flats","jumbo figures, ring chart",development,3,2,2.5,3,colour,yes,no
Dec-01,"Soon, two wheelers can get fancy number plates",table,transport,4,1,2,3,colour,no,no
Dec-01,Air quality in Delhi-NCR,"colour, bar chart",environment,4,4,3,3,colour,no,no
Dec-01,webpoll,pie chart,public opinion,8,3,2,1.7,colour,no,no
Dec-01,"Why should Gujarat pay for Modi's mess, popularity","timeline, map",politics,11,1,2,2.7,colour,yes,no
Dec-01,Sexual harassment cases in companies,stacked bar chart,crime,17,1,2,3,colour,no,no
Dec-01,Rooney dedicates hattrickto interim boss,"list, jumbo figures",sports,26,3,1,2,colour,yes,no
Dec-01,Russia gears up for the World Cup draw,list,sports,27,1,1,3,colour,yes,no
Dec-02,Delhi police self-defense campaign,table,campaign,2,3,3,3,colour,yes,no
Dec-02,Traffic advisory,"map, icons",transport,4,"3, 4",5,7,colour,no,no
Dec-02,Air quality in Delhi-NCR,"colour, bar chart",environment,6,1,2,3,colour,no,no
Dec-02,webpoll,pie chart,public opinion,10,3,2,1.7,colour,no,no
Dec-02,"BJP get 14 mayors in UP, BSP 2","map, bar chart, jumbo figures",politics,10,"1, 2",2.5,3.5,colour,yes,no
Dec-02,Narrow margins define race for bipolar Gujarat,"map, colour, visual depiction of numbers, jumbo figures, table",politics,11,"2, 3",2.5,8,colour,no,no
Dec-02,Wealth and taint,"bar chart, pie chart, list, stacked bar chart",politics,11,3,3,6,colour,yes,no
Dec-02,Auto sales see double digit growth in festive season,"table, bar chart",economic,23,2,2.5,4,colour,no,no
Dec-02,"Sensex, Nifty post worst weekly fall in over 3 months",line chart,economic,23,1,2.5,3.5,colour,no,no
Dec-02,"Eye on SA, India to test combinations",table,sports,27,1,1,2,colour,yes,no
Dec-02,Wagner's career-best haul crushes WI,table,sports,27,3,2.5,2,colour,yes,no
Dec-02,"Spain, Portugal in same group","table, list, timeline, icons",sports,29,"1, 2",4.5,3,colour,yes,no
Dec-02,"United travel to Arsenal, look to close gap on City",ring chart,sports,29,1,1,1,colour,yes,no
Dec-02,India eye ninth straight series,"visual depiction of numbers, colour",sports,i,2,1,2.5,colour,yes,no
Dec-02,Pink ball test,jumbo figures,sports,i,3,1,3,colour,yes,no
Dec-02,Fifa World Cup draw,list,sports,i,3,2,1.5,colour,no,no
Dec-02,HT weather,"icons, map, jumbo figures, colour",weather,ii,4,2.5,2,colour,no,no
Dec-03,"Unruly metro commuters could face jail, heavy fines",table,crime,1,2,1.5,2,colour,yes,no
Dec-03,Crore-plus salary a distant dream for most IIT grads,stacked bar chart,education,1,3,1.5,2,colour,no,no
