Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,12000 people get the gift of housing,"map, jumbo figures",development,2,1,2,3,colour,no,no
Dec-01,More than 80000 flats to be constructed in 5 years,"table, jumbo figures",development,2,4,1,5,colour,no,no
Dec-01,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-01,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-01,Electricity even more expensive in UP,table,economic,8,1,1.2,2,b&w,yes,no
Dec-01,HIV not a curse anymore for mothers,jumbo figures,health,13,"1, 2",2,1,b&w,yes,no
Dec-01,Sensex,"area chart, icons, table",sensex,17,2,1,9,colour,no,no
Dec-01,"Prices for Gram lentil and Rice fall, Tomato rises",table,economic,17,"1, 2",4,2,colour,yes,yes
Dec-01,Growth rate to exceed 7%,table,economic,17,2,1,2,b&w,no,no
Dec-01,Solanki plays a big role to keep the party together,timeline,politics,18,1,2,2,b&w,no,yes
Dec-01,Chanu got Gold for India after 22 years,jumbo figures,sports,20,2,1,1,b&w,yes,no
Dec-01,Said Ajmal retires with a heavy heart,jumbo figures,sports,20,3,1,1,b&w,yes,no
Dec-01,Defending champion Australia gives tough competition to India in the first match itself,jumbo figures,sports,20,4,1,2,b&w,yes,no
Dec-04,Assault on NIA team in Ghaziabad,timeline,crime,1,1,1,5,colour,yes,no
Dec-04,Excessive ollution forces teams to wear masks while playing test,jumbo figures,environment,1,1,1,1,colour,yes,no
Dec-04,Notice sent to 159 companies for levying extra GST,jumbo figures,crime,1,"2, 3",1,2,b&w,no,no
Dec-04,Youngsters driving car beats up a cab driver,timeline,crime,2,1,1,2,b&w,no,no
Dec-04,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-04,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-04,Metro's pink line will connect 4 big markets directly,"map, jumbo figures",development,4,"1, 2",5,4,colour,yes,no
Dec-04,Smart card sales for Metro falls down,jumbo figures,transport,4,2,2,0.5,colour,yes,no
Dec-04,Lost child reunited with family with the help of Google maps,jumbo figures,technology,4,4,1,0.5,colour,no,yes
Dec-04,Capital's air reaches toxic levels on Sunday,"jumbo figures, table, bar chart",environment,5,"1, 2",2,6,colour,yes,no
Dec-04,Less chances of reducing interest rates,jumbo figures,economic,11,2,1,2,colour,yes,no
Dec-04,Helpline number to be printed on tobacco packs,jumbo figures,health,11,3,1,4,colour,no,no
Dec-04,Virat creates a world record with his double century,"jumbo figures, table",sports,12,"1, 2",4,9,colour,yes,no
Dec-04,Chabahar port puts Pakistan out of the way,"map, jumbo figures",foreign affairs,13,3,3,4,colour,no,no
Dec-04,Basava will get Congress the tribal seats,timeline,politics,13,1,2,0.5,b&w,no,yes
Dec-05,Film actor Shashi Kapoor no more,timeline,entertainment,1,2,1,2,b&w,yes,no
Dec-05,Government has to declare in 48 hours how it would cope up with the pollution,jumbo figures,environment,1,2,1,0.5,colour,yes,no
Dec-05,Pollution in Delhi increases ten-fold,map,environment,2,1,2,4,colour,yes,no
Dec-05,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-05,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-05,Debit card cloning at petrol pumps,jumbo figures,crime,4,2,1,2,colour,yes,no
Dec-05,Sensex,"area chart, icons, table",sensex,13,2,1,8,colour,no,no
Dec-05,Opinion poll: Stiff competition between BJP and Congress,"ring chart, bar chart, table, jumbo figures",politics,15,"1, 2",4,3,colour,no,no
Dec-05,Voting scenario in Surat,"jumbo figures, ring chart",politics,15,1,2,8,colour,no,no
Dec-05,Dress colours for rail workers,table,lifestyle,16,1,1,4,colour,no,no
Dec-05,Chandimal and Matthews avert follow-on,"jumbo figures, table",sports,20,"1, 2",3,6,colour,yes,no
Dec-05,Top Indian cricketers to get paid an annual salary of Rs.12cr,jumbo figures,sports,20,3,1,3,colour,yes,no
Dec-05,Country's first ingenious rocket Pinaka to increase military power,jumbo figures,technology,21,2,2,4,colour,yes,no
Dec-05,Supermoon: the world witnessed 14% magnified moon,jumbo figures,environment,22,2,1,3,colour,yes,no
Dec-05,"Modi maintains his popularity on twitter, Virat grows",table,lifestyle,22,4,2,4,colour,yes,no
Dec-06,Emergency solutions to cope up with pollution to be deployed at once: EPCA,jumbo figures,environment,1,3,1,1,colour,no,no
Dec-06,Northern Municipality to levy tax even from professionals,icons,development,3,1,2,2.5,colour,yes,no
Dec-06,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-06,"Bike rider falls from flyover, dies",jumbo figures,accidents,4,2,1,1,column,yes,no
Dec-06,Delhi police self-defense campaign,table,campaign,4,3,4,3,colour,yes,no
Dec-06,Petrol/diesel prices,table,economic,5,1,2,2,colour,yes,no
Dec-06,Metro's third stage will make travelling easy,"jumbo figures, map",development,6,"1, 2",5,6,colour,yes,no
Dec-06,The Ayodhya scenario,jumbo figures,history,10,"1, 3",2,5,b&w,yes,no
Dec-06,The Ayodhya scenario (continued),"jumbo figures, timeline",history,11,"1, 2",3,16,colour,yes,no
Dec-06,Sensex,"area chart, icons, table",sensex,17,2,1,8,colour,no,no
Dec-06,Attempts to boycott CJI hearing,jumbo figures,judiciary,18,"1, 2",3,0.5,colour,yes,no
Dec-06,Victory only 7 wickets away,"jumbo figures, table",sports,20,2,2,8,colour,yes,no
Dec-06,Hundreds of people travelling on the world's biggest cruise taken by illness,jumbo figures,health,22,2,1,2,colour,yes,no
Dec-07,Delhi-NCR experience earthquake tremors,jumbo figures,environment,1,2,1,1,b&w,no,no
Dec-07,Weather,icons,weather,3,2,2,1,colour,no,no
Dec-07,Petrol/diesel prices,table,economic,3,1,2,2,colour,yes,no
Dec-07,Changes in Delhi's air pollution levels during Ockhi's visit,table,environment,3,2,1,3,b&w,yes,no
Dec-07,Traffic jams to the airport to continue for 8 more months,"timeline, map, jumbo figures",development,5,"1, 2",5,6,colour,yes,no
Dec-07,Metro project to extend to 6 cities,table,development,6,1,2,4,colour,yes,no
Dec-07,Change: 2/3 of Indians agree that lifestyle has improved in the past 50 years ,"ring chart, jumbo figures",lifestyle,9,1,3,6,colour,no,no
