Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,Crime against Dalits: UP and Bihar worst states,table,crime,1,1,1,2,b&w,no,no
Dec-01,"NCRB Data: Last year, 39% of crimes were agaist children",table,crime,5,2,2,2,colour,no,no
Dec-01,"Most atrocities against Dalits involve crimes against women, most cases in Bengaluru",table,crime,13,2,2.5,4,b&w,no,no
Dec-01,"Huge spike in rape of children, up by 82% from 2015",table,crime,13,3,4,2,colour,no,no
Dec-01,"Cruelty by husband, sexual assault, top crimes against women",table,crime,13,1,2.5,5,colour,yes,no
Dec-01,BurIAd in the rankings din,table,lifestyle,15,2,2.5,2,colour,no,yes
Dec-01,China's communist party is being choosIAr about new members,bar chart,politics,17,4,1.5,2,b&w,yes,no
Dec-01,The bits of bitcoin,"line chart, jumbo figures",economic,18,"1, 2",7,6,colour,no,yes
Dec-01,Most consumers will stop biz in case of data breach,jumbo figures,lifestyle,18,"1, 4",1,10,colour,no,yes
Dec-01,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-01,A tale of two manufacturing growth rates,line chart,economic,19,2,2,3,colour,no,no
Dec-01,Four out of eight sectors grow at over 6%,"list, bar chart",economic,19,1,2,4,colour,no,yes
Dec-01,"SC might decide FTP, pay hike","table, jumbo figures",sports,24,"2, 3",1.5,6.5,colour,no,no
Dec-01,World stage fear haunts IndIA,"table, jumbo figures",sports,26,2,1.5,3,b&w,yes,no
Dec-01,Gujarat elections,"bar chart, ring chart, table",politics,30,"2, 3",1.5,9.5,colour,no,no
Dec-01,"In temple town, caste plays on partIAs' minds",jumbo figures,politics,30,2,1.3,2,colour,yes,no
Dec-01,Mother banks on 'daruwali' image to lift son,jumbo figures,politics,30,3,1.3,2,colour,yes,no
Dec-01,"MP campaigns for bahu, ticketless wife doesn't",jumbo figures,politics,30,4,1.3,2,colour,yes,no
Dec-02,"More girls, women go missing than boys, men: NCRB data",table,crime,1,"3, 4",2,2,colour,no,no
Dec-02,Opinion poll,jumbo figures,public opinion,2,2,1.5,5,colour,no,no
Dec-02,Air quality,"ring chart, colour",environment,3,1,4,1.5,colour,no,no
Dec-02,Delhi police self-defense campaign,table,campaign,3,4,4,4.5,colour,yes,no
Dec-02,Gujarat elections,"bar chart, ring chart, table, jumbo figures",politics,6,"2, 3",1.5,15,colour,yes,no
Dec-02,"UP civil polls: Congress suffers losses, Nagar Palika chairs in Amethi bagged by BJP, SP",table,politics,7,4,2,4,colour,yes,no
Dec-02,Reason for 34% drop in crimes: NCRB's data collection correction,table,crime,9,"1, 2",2,3,b&w,no,no
Dec-02,Give accountability a chance,table,administration,15,1,1.2,3,colour,no,yes
Dec-02,"Markets ignore higher GDP, Sensex down 316 points","table, jumbo figures",economic,19,"1, 2, 3, 4",3,4,colour,no,yes
Dec-02,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-02,Smaller pockets hold big opportunity to sustain future growth,table,development,21,"1, 2, 3, 4",5,3.5,b&w,yes,no
Dec-03,Opinion poll,jumbo figures,public opinion,2,2,1.5,2,colour,no,no
Dec-03,Delhi police self-defense campaign,table,campaign,5,4,4,3,colour,yes,no
Dec-03,"UP local body election: BJP sweeps cities, Independents rule urban belts outside","pie charts, table",politics,8,"1, 2",4,6.5,colour,yes,no
Dec-03,MFI may continue to reel some pressure on demonetisation impact,jumbo figures,economic,19,3,1,1,colour,no,yes
Dec-03,"India vs Sri Lanka: 3rd test, Delhi",list,sports,23,4,1.5,4,b&w,yes,no
Dec-03,"India back to old ways, sacrifice plan, match",table,sports,23,4,1.5,1,b&w,yes,no
Dec-04,Opinion poll,jumbo figures,public opinion,3,2,1.5,2,colour,no,no
Dec-04,"PSU banks write off Rs. 55,356 crores in 6 months",table,economic,2,1,1.5,3,colour,no,no
Dec-04,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-04,In need of an ambulance,"map, icons, jumbo figures",accidents,5,"1, 2, 3, 4",5.5,15,colour,yes,no
Dec-04,Gujarat elections,"ring chart, table",politics,6,"2, 3",1.5,6.5,colour,yes,no
Dec-04,"Lalit Vasoya, PAAS leader-turned-Congress candidate, banks on roots in seats",jumbo figures,politics,6,2,1,1,colour,yes,no
Dec-04,CM Rupani and Hardik ke it roadshow vs roadshow in Surat,table,politics,6,4,1.5,5.5,colour,yes,no
Dec-04,Indian firms in Germany generated 11.4 billion euros revenue in 2016,jumbo figures,economic,17,3,4,4,colour,no,yes
Dec-04,"India vs Sri Lanka: 3rd test, Delhi","list, jumbo figures",sports,20,"1, 2, 3",4.5,5,colour,yes,no
Dec-05,"In J&K, 29 people died in lathi charge, 15 in firing: NCRB",table,crime,1,4,2,2,colour,no,no
Dec-05,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-05,Air quality,"ring chart, colour",environment,4,1,4,1,colour,no,no
Dec-05,Air quality dips again but the worse is yet to come,line chart,environment,4,2,2,2,colour,yes,no
Dec-05,Gujarat elections,"ring chart, table",politics,6,"2, 3",1.5,11,colour,yes,no
Dec-05,"In BJP fortress, CM and wife face up to strong challenge from Congress",jumbo figures,politics,6,1,1,1,colour,yes,no
Dec-05,"If I lose now, I will BJP down in 2019: Mewani",jumbo figures,politics,6,4,0.5,2,colour,yes,no
Dec-05,Why Vaghela has no candidiate in seat that elected him,jumbo figures,politics,6,3,1,1,colour,yes,no
Dec-05,"1400 safe, efforts won't stop, says Nirmala",map,accidents,10,"1, 2",2,4,b&w,yes,no
Dec-05,The Babri masjid case: SC decision awaited,map,judiciary,13,"3, 4",2.5,6,colour,yes,no
Dec-05,"Agri-futures, like China","bar chart, line chart",development,15,"1, 2",5,4.5,colour,no,no
Dec-05,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-05,Rise in IPO activity may fuel credit growth in some sectors,jumbo figures,economic,19,3,1,2,colour,no,yes
Dec-05,"India vs Sri Lanka: 3rd test, Delhi",table,sports,24,"1, 2",1.5,9.5,b&w,yes,no
Dec-05,"WI collapse, hand Kiwis innings victory",jumbo figures,sports,25,1,1.5,2.5,colour,no,no
Dec-06,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-06,Delhi Jal Board Grievance redressal camps,table,campaign,2,"3, 4",6,2,colour,no,no
Dec-06,Delhi police self-defense campaign,table,campaign,7,3,4,3,colour,yes,no
Dec-06,Gujarat elections: the 100 crore-plus club,"table, jumbo figures",politics,10,"2, 3",3,14,b&w,yes,no
Dec-06,"In Sanand, BJP faces farmer's anger","jumbo figures, list",politics,10,1,1.5,2,b&w,yes,no
Dec-06,"Yet again, BSP looks for first Gujarat winnner",jumbo figures,politics,10,4,1.5,4,b&w,yes,no
Dec-06,"498A, dowry: most FIRs, east convictions",table,crime,18,1,3,2,b&w,no,yes
Dec-06,Price of comodities,icons,economic,21,1,2.5,1,b&w,no,no
Dec-06,Govt's public debt rises by 2.53% in july-september quarter,jumbo figures,economic,21,4,1,4,colour,no,yes
Dec-06,Domestic passenger traffic moderates to 16.3%,jumbo figures,transport,23,3,5.2,1.5,colour,yes,no
Dec-06,"India vs Sri Lanka: 3rd test, Delhi","table, jumbo figures",sports,25,"1, 4",1.5,15,colour,yes,no
Dec-07,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-07,Model code references during J&K polls,timeline,politics,2,1,3,4,b&w,no,no
Dec-07,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-07,Gujarat elections,"table, jumbo figures",politics,6,2,1.5,5,b&w,yes,no
Dec-07,Price of comodities,icons,economic,17,1,2.5,1,b&w,no,no
Dec-07,"Rate status quo, again","table, jumbo figures",economic,17,3,4,3,b&w,no,no
Dec-07,"For farmers, it's rise in income, not output that matters",table,development,19,4,1.5,3,b&w,no,no
Dec-07,"India vs Sri Lanka: 3rd test, Delhi",table,sports,24,3,1.5,5,colour,yes,no
Dec-07,India produce a spirited performance to stun Olympic silver medallists Belgium in shootout and progress to semis of HWL final,"table, icons",sports,25,2,1.2,2,b&w,yes,no
Dec-08,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-08,Air quality,"ring chart, colour",environment,3,1,4,1,colour,no,no
Dec-08,City air quality 'moderate': best in December in 2 years,table,environment,3,1,2,1.5,colour,yes,no
Dec-08,Gujarat elections,"table, jumbo figures, map, bar chart",politics,6,"2, 3",1.5,20,colour,no,no
Dec-08,What UP civic poll numbers say,table,politics,13,"1, 2",4,3,colour,yes,no
Dec-08,Price of comodities,icons,economic,19,1,2.5,1,b&w,no,no
Dec-08,Investments in equity MFs in November hits Rs. 19508 crores,table,economic,19,2,2,3,b&w,no,no
Dec-08,"Singapore top destination for chinese funds, India 37th",list,economic,19,2,1,2,colour,no,yes
Dec-08,"Adaptive, flexible, resilient workforce needed: Kant",list,development,19,4,2,7,colour,yes,no
Dec-08,Link Aadhar as early as possible to avoid inconvenience,list,development,21,"3, 4",5,5,colour,no,yes
Dec-08,Only 25% passengers use seat belts in India,"list, jumbo figures",accidents,21,"1, 4",1.5,11,colour,no,no
Dec-08,A journey from being unattractive to being a competitive market,table,development,21,3,1.5,2,b&w,no,no
Dec-08,Choosing between Ashwin and Jadeja will be a dilemma for Kohliduring the upcoming South Africa series,jumbo figures,sports,26,1,1.5,2,b&w,yes,no
Dec-08,Annihilation at Anield,list,sports,28,2,1.5,3,b&w,yes,no
Dec-09,Opinion poll,jumbo figures,public opinion,2,3,1.5,2,colour,no,no
Dec-09,Air quality,"ring chart, colour",environment,4,1,4,1,colour,no,no
Dec-09,"Decision on Max is sentiment over science, anti-doc, say specialists",jumbo figures,accidents,4,4,2,3,colour,no,no
Dec-09,"Today, Cong will eye a big bite ino urban saffron pie","map, jumbo figures",politics,6,"1, 4",1.5,4.5,colour,yes,no
Dec-09,Price of comodities,icons,economic,17,1,2.5,1,b&w,no,no
Dec-09,Top 100 firms create wealth worth Rs. 38.9 lakh crores in the last 5 years,"jumbo figures, list",economic,17,3,1,2,colour,no,yes
