Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-01,Crime capital: Delhi records 39% of offences in metros,stacked bar chart,crime,1,2,2,1.8,colour,no,yes
Dec-01,Economy shakes off DeMon & GST impact with 6.3% growth,line chart,economic,1,2,2,1.6,colour,no,no
Dec-01,"Double deck flyover, underpass to unclog city's worst 2 stretches","map, icons",development,2,"1, 2",4,3,colour,no,no
Dec-01,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-01,Delhi accounted for 39% of crimes among metro cities,"bar chart, pie chart, jumbo figures",crime,4,"1, 2",3,5,colour,no,yes
Dec-01,Over 12000 picked to get DDA flats,"map, table",development,5,2,3,3.2,colour,yes,no
Dec-01,Pollution watch,"bar chart, colour",environment,5,"2, 3",1,5.8,colour,no,no
Dec-01,Indians most satisfied with their sex lives,"pie chart, ring chart, jumbo figures, bubble chart",lifestyle,7,"1, 2",4,4.7,colour,no,yes
Dec-01,Your 2-wheeler can also sport fancy number,"jumbo figures, list",transport,7,2,2,2,colour,yes,no
Dec-01,Desis 2nd biggest group to get US citizenship in '16,stacked bar chart,foreign affairs,10,2,2,2,colour,no,no
Dec-01,"Winter's here, but more ciites see improvement in air quality: CPCB",table,environment,12,2,2,4,colour,no,no
Dec-01,"Child rapes up 82% in 2016, UP records a 400% jump","bar chart, map, bubble chart",crime,19,2,3,3,colour,no,yes
Dec-01,"Delhi a full-fledged state, cannot compare it with metros: Top cop",bar chart,crime,19,2,1,2.8,colour,no,no
Dec-01,"2016 saw 106 rapes a day, Delhi the capital here too",pie chart,crime,19,1,2,1,colour,no,yes
Dec-01,Deceleration trend in growth has reversed,"stacked bar chart, icons",economic,24,1,2,3.2,colour,no,no
Dec-01,Pacers vs Spinners: on previous SA tour (2013-14),table,sports,25,1,1.5,2,colour,yes,no
Dec-01,Last Gasp sterling,table,sports,26,1,1.2,1.3,colour,yes,no
Dec-01,Citizen reporter,map,public opinion,2,1,2,9,colour,yes,no
Dec-01,Big Uber Hack: The Latest Data Heist to hit millions,jumbo figures,crime,2,4,4,1.5,colour,yes,no
Dec-02,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-02,Solutions for 4.7 km Ring Road stretch,"map, list",development,2,1,3,4,colour,no,no
Dec-02,Delhi police self-defense campaign,table,campaign,2,3,4,2.5,colour,yes,no
Dec-02,"Every 12 hours, a murder in Delhi","table, icons, visual depiction of numbers",crime,4,2,3,4,colour,no,no
Dec-02,Traffic advisory,"map, icons",transport,4,"3, 4",5.5,7.5,colour,yes,no
Dec-02,Central law notified 5 years ago can check medical malpractices: Experts,"icons, list, jumbo figures",health,4,1,3,2,colour,no,no
Dec-02,Help stabs 73 year old woman in GK-1 for refusing to loan her Rs. 5 lakh,timeline,crime,6,2,3,2.5,colour,yes,no
Dec-02,Movie reviews,visual depiction of numbers,entertainment,6,"1, 2, 3, 4",2,1.2,colour,yes,no
Dec-02,Peek into city's only travelator outside IGI,"map, jumbo figures",development,8,"1, 2",4,4.8,colour,yes,no
Dec-02,Better off this November but still breathing poison,line chart,environment,9,1,3,2,colour,no,yes
Dec-02,Mfg activity strongest in 3 months,line chart,development,21,2,2,1.8,colour,no,no
Dec-02,Nov car sales rise in double digits,"table, bar chart",transport,21,3,2,1.5,colour,no,no
Dec-02,No open and shut case,jumbo figures,sports,23,"1, 2",1.5,6,colour,yes,no
Dec-02,Pink ball tussle,jumbo figures,sports,23,4,1,4,colour,yes,no
Dec-02,Decks cleared for roulette,list,sports,26,"1, 2",6,4,colour,yes,no
Dec-02,Home buyer alert! Sector 70 to 73 of Gurgaon offer good deals,map,development,59,"1, 2",4.5,7,colour,yes,no
Dec-02,Citizen reporter,map,public opinion,2,1,4,9,colour,yes,no
Dec-02,"Health, leisure and happy marriage as important as marriage","bar chart, pie chart",lifestyle,2,4,4,6,colour,yes,no
Dec-03,CityWeather,icons,weather,2,2,1,1.7,colour,no,no
Dec-03,Max may lose license if guilty: Jain,timeline,health,2,1,2,1.7,colour,yes,no
Dec-03,Delhi police self-defense campaign,table,campaign,2,4,4,2.7,colour,yes,no
Dec-03,Principals feel campaign will lead to more bright sparks,bubble chart,campaign,4,1,1.5,2.7,colour,no,no
Dec-03,Arid threat: Study finds Aravalis are losing power to check desert spread,"map, area chart",environment,4,2,3,3.2,colour,no,no
Dec-03,Movie reviews,visual depiction of numbers,entertainment,4,4,1.3,0.5,colour,yes,no
Dec-03,Graded plan reason why air is better this year,table,environment,7,2,1.6,1.7,colour,no,yes
Dec-03,"accidents, suicides, ailments kill 1600 soldiers every year","bar chart, bubble chart",health,10,"1, 2",3,2,colour,yes,no
Dec-03,How new-age enterpreneuers are homing in on old-economy hubs,process,development,18,3,2.5,1.5,colour,yes,yes
Dec-03,Deal of the week,jumbo figures,economic,18,4,2,2.5,colour,no,no
Dec-03,"With 8 times more sales, China's Singles Day makes Diwali look frugal","jumbo figures, bubble chart",economic,18,4,2,4,colour,no,yes
Dec-03,Incredible fact,"jumbo figures, visual depiction of numbers",lifestyle,19,1,2.5,5,colour,no,yes
Dec-03,China's cycle sharing boom looks shaky,jumbo figures,transport,19,4,2.5,5,colour,yes,no
Dec-03,The Vijay-Virat show,jumbo figures,sports,23,2,1,7,colour,yes,no
Dec-03,Citizen reporter,map,public opinion,2,1,4,9,colour,yes,no
Dec-04,How falling temperatures hit Delhi's air quality _яс and pride,"bar chart, line chart, visual depiction of numbers",environment,2,"1, 2",4.5,3.5,colour,yes,yes
Dec-04,CityWeather,icons,weather,4,2,1,1.8,colour,no,no
Dec-04,Stats and the city,jumbo figures,transport,4,2,1,1.3,colour,no,no
Dec-04,Pollution watch,"bar chart, colour",environment,4,3,1,5.5,colour,no,no
Dec-04,How Aravalis have been defined and what it means,list,environment,4,1,3,1.7,colour,yes,no
Dec-04,Convention centre at Dwarka to compete with Pragati Maidan 2.0,"map, jumbo figures, timeline, icons",development,7,"1, 2",4,3.5,colour,yes,no
Dec-04,"Internet freedom is being resticted across the world, India is partly free","icons, jumbo figures, bar chart",technology,8,2,2,4.5,colour,no,yes
Dec-04,"In polls for heads of tier-2 UP towns, BJP got 29% of votes","pie chart, table",politics,9,4,3,3.7,colour,no,no
Dec-04,The ABC of missile race,"line chart, jumbo figures, stacked bar chart",technology,13,"1, 2",5,7.3,colour,no,yes
Dec-04,Warburg Pincus joins 3-way race for Rs. 3400 cr CAMS deal,ring chart,economic,17,2,1,1.3,colour,no,no
Dec-04,RBI may hold rates at policy meet this week,line chart,economic,17,1,1,1.3,colour,no,no
Dec-04,Best funds to buy,"table, jumbo figures",economic,18,"1, 2",8,1.2,colour,no,no
Dec-04,Smart ways to borrow,"jumbo figures, bubble chart, process, colour",lifestyle,18,"1, 2",4,5.2,colour,no,yes
Dec-04,"NPS, tax-free perks cut tax by 87k",table,economic,18,4,4,5,colour,no,no
Dec-04,Double trouble for Lanka,jumbo figures,sports,19,1,1.2,4,colour,yes,no
